source,elapsed_min,total_free_mb,largest_free_mb,script_heap_mb
Long run stress.txt,49.86035000000005,694,658,209
Long run stress.txt,50.02896666666668,693,658,209
Long run stress.txt,50.61953333333337,693,658,209
Long run stress.txt,51.4637,693,658,209
Long run stress.txt,52.306833333333394,693,658,209
Long run stress.txt,53.14978333333335,693,658,209
Long run stress.txt,53.572400000000016,694,658,209
Long run stress.txt,53.99396666666671,693,658,209
Long run stress.txt,54.836733333333356,693,658,209
Long run stress.txt,55.67996666666671,693,658,209
Long run stress.txt,56.52401666666671,693,658,209
Long run stress.txt,57.36683333333337,693,658,209
Long run stress.txt,58.20961666666668,693,658,209
Long run stress.txt,59.05361666666668,693,658,209
Long run stress.txt,59.89656666666669,693,658,209
Long run stress.txt,60.73981666666671,693,658,209
Long run stress.txt,61.41530000000002,694,658,209
Long run stress.txt,61.49961666666671,693,658,209
Long run stress.txt,61.58390000000006,693,658,209
Long run stress.txt,62.4268,693,658,209
Long run stress.txt,63.269700000000014,693,658,209
Long run stress.txt,63.776583333333356,745,670,209
Long run stress.txt,63.94515000000004,746,670,209
Long run stress.txt,64.02943333333339,745,670,209
Long run stress.txt,64.1136833333334,744,670,209
Long run stress.txt,64.19800000000002,743,670,209
Long run stress.txt,64.28225000000002,741,670,209
Long run stress.txt,64.53515,735,670,209
Long run stress.txt,64.61945000000001,722,629,209
Long run stress.txt,64.70373333333336,692,592,209
Long run stress.txt,64.78805000000006,722,670,209
Long run stress.txt,64.87238333333335,686,646,209
Long run stress.txt,64.95671666666671,686,646,209
Long run stress.txt,65.12535000000001,687,641,209
Long run stress.txt,65.20973333333338,693,641,209
Long run stress.txt,65.71616666666668,692,646,209
Long run stress.txt,65.80048333333337,697,646,209
Long run stress.txt,65.88595000000005,679,644,209
Long run stress.txt,65.97026666666667,690,646,209
Long run stress.txt,66.05460000000002,680,641,209
Long run stress.txt,66.22325000000001,687,646,209
Long run stress.txt,66.30755000000002,692,646,209
Long run stress.txt,66.47621666666667,683,646,209
Long run stress.txt,66.56055000000002,685,646,209
Long run stress.txt,66.64488333333338,683,646,209
Long run stress.txt,66.72925000000002,680,644,209
Long run stress.txt,66.81360000000004,687,641,209
Long run stress.txt,66.89795000000001,677,641,209
Long run stress.txt,66.98226666666669,688,646,209
Long run stress.txt,67.06660000000005,685,631,209
Long run stress.txt,67.15096666666668,679,646,209
Long run stress.txt,67.23530000000004,688,646,209
Long run stress.txt,67.31961666666672,684,646,209
Long run stress.txt,67.40393333333334,695,646,209
Long run stress.txt,67.4882666666667,690,646,209
Long run stress.txt,67.57258333333338,679,646,209
Long run stress.txt,67.65690000000001,693,646,209
Long run stress.txt,67.74125000000004,687,646,209
Long run stress.txt,67.90988333333334,693,646,209
Long run stress.txt,68.07848333333338,703,646,209
Long run stress.txt,68.16281666666667,686,646,209
Long run stress.txt,68.24713333333335,704,646,209
Long run stress.txt,68.33145000000005,693,646,209
Long run stress.txt,68.41691666666672,694,646,209
Long run stress.txt,68.58553333333336,704,646,209
Long run stress.txt,68.75416666666666,698,646,209
Long run stress.txt,69.00711666666672,699,646,209
Long run stress.txt,69.09141666666667,698,646,209
Long run stress.txt,69.1757666666667,698,646,209
Long run stress.txt,69.26011666666673,683,642,209
Long run stress.txt,69.34448333333336,684,642,209
Long run stress.txt,69.42880000000005,688,642,209
Long run stress.txt,69.5130833333334,684,642,209
Long run stress.txt,69.59740000000002,694,642,209
Long run stress.txt,69.76610000000001,683,642,209
Long run stress.txt,69.85045000000004,682,644,209
Long run stress.txt,70.01910000000001,682,641,209
Long run stress.txt,70.10343333333337,685,646,209
Long run stress.txt,70.18778333333339,677,646,209
Long run stress.txt,70.27213333333336,684,636,209
Long run stress.txt,70.52513333333336,685,636,209
Long run stress.txt,70.69381666666668,681,636,209
Long run stress.txt,70.77860000000001,679,636,209
Long run stress.txt,70.86293333333336,684,636,209
Long run stress.txt,71.03270000000005,685,636,209
Long run stress.txt,71.11701666666667,688,636,209
Long run stress.txt,71.20135000000003,689,636,209
Long run stress.txt,71.37001666666669,688,636,209
Long run stress.txt,71.45435000000003,684,636,209
Long run stress.txt,71.53871666666667,689,636,209
Long run stress.txt,71.62305000000002,687,636,209
Long run stress.txt,71.70738333333338,688,636,209
Long run stress.txt,71.87603333333337,693,636,209
Long run stress.txt,71.96038333333338,694,636,209
Long run stress.txt,72.04476666666669,695,636,209
Long run stress.txt,72.12910000000005,697,636,209
Long run stress.txt,72.21346666666668,691,636,209
Long run stress.txt,72.29780000000004,697,636,209
Long run stress.txt,72.55085000000005,695,636,209
Long run stress.txt,72.63516666666668,693,636,209
Long run stress.txt,72.7195166666667,683,636,209
Long run stress.txt,72.80386666666672,695,636,209
Long run stress.txt,72.88823333333336,673,641,209
Long run stress.txt,73.05693333333335,668,630,209
Long run stress.txt,73.14128333333338,669,630,209
Long run stress.txt,73.22565000000002,670,630,209
Long run stress.txt,73.31001666666671,683,630,209
Long run stress.txt,73.39435,676,635,209
Long run stress.txt,73.4798666666667,647,609,209
Long run stress.txt,73.56426666666673,664,622,209
Long run stress.txt,73.64863333333336,663,625,209
Long run stress.txt,73.73301666666673,664,625,209
Long run stress.txt,73.81743333333337,660,625,209
Long run stress.txt,73.90176666666672,597,555,209
Long run stress.txt,73.98618333333337,585,544,209
Long run stress.txt,74.07053333333339,588,544,209
Long run stress.txt,74.15490000000003,600,544,209
Long run stress.txt,74.23925000000006,600,544,209
Long run stress.txt,74.40803333333339,601,544,209
